Brand,Product Name,Rating,No. of Ratings,Discounted Price,Original Price,Discount,Offer Price
Beardo,Pack of 3 Power Lust & Glory Long Lasting Deo Body Spray For Men,N/A,N/A,₹314,"₹1,047",(70% off),₹290
Envy,Men Envy Bold Eau De Parfum,2.6,16,₹251,₹299,(16% off),₹179
Armaf,Club De Nuit Sillage Eau De Parfum,4.5,4,"₹5,360",N/A,N/A,"₹3,752"
Armaf,Aura Eau De Parfum,4.5,2,"₹2,350",N/A,N/A,"₹1,692"
Armaf,Club De Nuit Intense Eau De Toilette,4.1,8,"₹4,750",N/A,N/A,"₹3,373"
Armaf,Tres Nuit Pour Homme Eau De Toilette,N/A,N/A,"₹2,295",N/A,N/A,"₹1,836"
Armaf,Hunter Intense Eau De Toilette,3.8,15,"₹2,490",N/A,N/A,"₹1,768"
Beardo,Fantastic Four Perfume Deodorant Set,2.6,111,₹268,₹596,(55% off),₹234
Beardo,Blue Blood Perfume Eau de Parfum for Men,N/A,N/A,"₹1,200","₹2,000",(40% off),"₹1,080"
Dorall Collection,Islanders Eau De Toilette,N/A,N/A,₹300,₹599,(50% off),₹262
JAGUAR,Classic Eau de Toilette -40 ml,4.5,2,"₹1,560","₹2,400",(35% off),"₹1,296"
Beardo,Godfather Eau De Parfum for Men,3.8,12,₹181,₹349,(48% off),₹158
WILD STONE,Whiskey Eau De Parfum,3.6,27,₹439,₹799,(45% off),₹336
Dorall Collection,Hunted Eau De Toilette,N/A,N/A,₹300,₹599,(50% off),₹262
CALVIN KLEIN,Eternity Men Giftset - Eau De Toilette 100 ml + Deodorant 150 ml,N/A,N/A,"₹5,330","₹8,200",(35% off),"₹5,230"
NAUTICA,Blue Eau de Toilette -100 ml,4,26,"₹1,920","₹3,200",(40% off),"₹1,760"
S Oliver,Pure Sense Men Eau De Toilette,N/A,N/A,₹910,"₹1,400",(35% off),₹784
Viktor & Rolf,Viktor and Rolf Spicebomb Night Vision Eau De Toilette for Men,N/A,N/A,"₹8,150",N/A,N/A,"₹6,357"
Jacques Bogart,Pour Homme Eau de Toilette - 100 ml,3.3,20,"₹2,750","₹5,000",(45% off),"₹2,150"
Beardo,Whiskey Smoke & Godfather Eau De Parfum Set for Men,4.3,16,₹741,"₹1,398",(47% off),₹648
The Man Company,Black EDT- 50 ml,4.8,4,₹468,"₹1,299",(64% off),₹409
Embark,Men My Freedom for Him Fougere & Fresh Luxury Eau De Parfum,3.8,5,₹456,₹845,(46% off),₹397
JAGUAR,Classic Black Eau de Toilette -40 ml,4.2,26,"₹2,340","₹3,600",(35% off),"₹1,836"
Beardo,White Opium Perfume Eau de parfum for Men,4.3,3,"₹1,299","₹1,999",(35% off),"₹1,139"
Bella Vita Organic,Luxury Klub Eau De Parfum,3.7,53,₹599,₹799,(25% off),₹423
The Man Company,Blanc Eau De Toilette,4.1,39,₹494,₹899,(45% off),₹405
ARAMIS,Classic Eau De Toilette,4.1,16,"₹3,150","₹4,200",(25% off),"₹2,436"
AZZARO,Chrome Eau De Toilette,4.8,10,"₹4,500",N/A,N/A,"₹3,330"
TOMMY HILFIGER,Now Eau de Toilette - 30 ml,4.5,8,"₹1,860","₹3,100",(40% off),"₹1,457"
DAVIDOFF,Cool Water Reborn Eau De Toilette for Him,3.8,18,"₹4,250",N/A,N/A,"₹3,230"
WILD STONE,Ultra Sensual Fragrance Combo for Men,4.3,17,₹406,₹624,(35% off),₹324
CALVIN KLEIN,Defy Eau De Toilette,5,4,"₹4,323","₹6,650",(35% off),"₹4,223"
GUESS,Uomo Eau De Toilette,4,4,"₹4,800","₹6,400",(25% off),"₹3,648"
POLICE,To Be The King Eau De Toilette - 125 ml,4.4,10,"₹2,870","₹4,100",(30% off),"₹2,214"
Embark,Men Ananda for Him Aromatic & Aquatic Luxury Eau De Parfum,4.3,3,"₹2,624","₹3,595",(27% off),"₹2,013"
